Absolute,absolute,"Independent of arbitrary units of measurement, standards, or properties; not comparative or relative",,,https://en.wiktionary.org/wiki/absolute,,,,,,,,,,,,,,,,,,,
Absorptance,absorptance,Ratio of absorbed to incident radiant flux,,0.14 ?,https://www.wikidata.org/wiki/Q16635541,"Solar, Typical",,,,,,,,,,,,,,,,,,
Accelerometer,accelerometer,Device that measures proper acceleration,"G-Sensor, Gravity Sensor, Acceleration Sensor",,https://www.wikidata.org/wiki/Q192940,,,,,,,,,,,,,,,,,,,
Accelerometer Sensitivity,accelerometerSensitivity,Sensitivity of an accelerometer defines at what rate the sensor converts mechanical energy into an electric signal (the output); and this will define the acceleration measurement range of the accelerometer,,200 mV/g,https://blog.endaq.com/accelerometer-specifications-decoding-a-datasheet,,,,,,,,,,,,,,,,,,,
Accuracy,accuracy,Closeness of the mean of a large set of measurement to the accepted reference value,"Measurement Accuracy, Measurement Trueness, Sensing Accuracy",10 arcsec,https://www.wikidata.org/wiki/Q1298969,"Pitch, Yaw, Roll, Boresight (Pointing), Position, Velocity, Timing, Temperature, Frequency (Timing)",,,,,,,,,,,,,,,,,,
Active Area,activeArea,The area of a fuel cell electrode which is electrochemically active and able to produce electricity from the supplied fuel,,289 cm2,http://www.fuelcelltoday.com/about-fuel-cells/glossary,,,,,,,,,,,,,,,,,,,
Active Thermal Control System,activeThermalControlSystem,"Maintains all spacecraft components and subsystems within their required temperature limits through heat collection, transportation and rejection processes",ATCS,,https://ttu-ir.tdl.org/handle/2346/74111,,,,,,,,,,,,,,,,,,,
Actuators,actuator,A component of a machine that is responsible for moving and controlling a mechanism or system,,,https://en.wikipedia.org/wiki/Actuator,,,,,,,,,,,,,,,,,,,
Additional Name,additionalName,"An additional name for a Person, can be used for a middle name",,Doe,https://schema.org/additionalName,,,,,,,,,,,,,,,,,,,
Adhesion,adhesion,Stickiness to a surface,Initial Adhesion,1.3 kg/in,https://www.wikidata.org/wiki/Q188666,Material (Silicone),,,,,,,,,,,,,,,,,,
Adhesive Tape,adhesiveTape,Strip of material backed with adhesive,Tape,,https://www.wikidata.org/wiki/Q320441,,,,,,,,,,,,,,,,,,,
Affiliation,affiliation,"An organization that this person is affiliated with. For example, a school/university, a club, or a team",,SatNOGS,https://schema.org/affiliation,,,,,,,,,,,,,,,,,,,
Alternate Name,alternateName,An alias for the item,Alias,TITA,https://schema.org/alternateName,,,,,,,,,,,,,,,,,,,
Altitude,altitude,"Height in relation to a certain reference point; (general) distance measurement, usually in the vertical or ""up"" direction, between a reference datum and a point or object. The reference datum also often varies according to the context","Elevation, Height",15 m,https://www.wikidata.org/wiki/Q190200,,,,,,,,,,,,,,,,,,,
Angle Random Walk,angleRandomWalk,"A noise specification, in units of deg/hr1/2, that is directly applicable to angle calculations. ARW describes the average deviation or error that will occur when you integrate the signal",ARW,0.15 °/?h,https://usu.instructure.com/courses/405064/files/59502196/download?wrap=1,,,,,,,,,,,,,,,,,,,
Angular Acceleration,angularAcceleration,Time rate of change of angular velocity,Rotational Acceleration,3.3 rad/s2,https://en.wikipedia.org/wiki/Angular_acceleration,,,,,,,,,,,,,,,,,,,
Angular Momentum,angularMomentum,Measure of the extent to which an object will continue to rotate in the absence of an applied torque,"Moment of Momentum, Angular Momentum Storage, Momentum Capacity, Stored Momentum",9.35 mNms,https://www.wikidata.org/wiki/Q161254,,,,,,,,,,,,,,,,,,,
Angular Rate Sensor,angularRateSensor,"Devices that directly measure angular rate, without integration in conditioning electronics",,,https://en.wikipedia.org/wiki/Angular_rate_sensor,,,,,,,,,,,,,,,,,,,
Angular Velocity,angularVelocity,"Physical quantity, the rate of change of angular position, and if regarded as a vector, the direction is the axis of rotation","Angular Speed, Angular Rate",± 40 °/s,https://www.wikidata.org/wiki/Q161635,"Minimum, Maximum",,,,,,,,,,,,,,,,,,
Anode,anode,Electrode through which conventional current flows into a polarized electrical device,,PTFE-bonded Pt/C,https://www.wikidata.org/wiki/Q181232,Material,,,,,,,,,,,,,,,,,,
Antenna,antenna,"Electrical device which converts electric power into radio waves, and vice versa",,UHF Eggbeater,https://www.wikidata.org/wiki/Q131214,Type,,,,,,,,,,,,,,,,,,
Anti-Reflective Coating,antiReflectiveCoating,Type of optical coating applied to the surface of lenses and other optical elements to reduce reflection,"AR Coating, Antireflective, Anti-Reflection Coating",TiOx/Al2O3,https://en.wikipedia.org/wiki/Anti-reflective_coating,,,,,,,,,,,,,,,,,,,
Arc Resistance,arcResistance,"The ability of a plastic material to maintain low conductivity along the path of exposure to a high-voltage electrical arc, usually stated in terms of the time required to render the material electrically conductive",,345 s,https://doi.org/10.1007/978-1-4419-6247-8_778,,,,,,,,,,,,,,,,,,,
Area,area,"Quantity that expresses the extent of a two-dimensional surface or shape, or planar lamina, in the plane",,4 m2,https://www.wikidata.org/wiki/Q11500,,,,,,,,,,,,,,,,,,,
Argument,argument,"Actual input passed to a function, procedure, or routine","Actual Argument, Actual Parameter, Function Argument, Subroutine Argument, Procedure Argument",,https://www.wikidata.org/wiki/Q38137336,"Device, Stream, Tune",,,,,,,,,,,,,,,,,,
