Identifier,ACM Classification Code,Australian Educational Vocabulary,BabelNet,Basisklassifikation,BIBFRAME,BNCF Thesaurus,COAR,Cultureel Woordenboek,DBpedia,DCAT,DCMI Metadata Terms,Dictionary of Algorithms and Data Structures,Elhuyar ZTH,Encyclopædia Britannica Online,Encyclopædia Universalis,EuroVoc,File Format Wiki,Freebase,Gran Enciclopèdia Catalana,Great Russian Encyclopedia Online,GS1 Global Product Classification Brick Code,IAO,IUPAC Gold Book,Library of Congress Subject Headings,MathWorld,Microsoft Academic,National Diet Library,NicoNicoPedia,NIST/CODATA,Nomenclature for Museum Cataloging,OmegaWiki Defined Meaning,Princeton WordNet,PRONOM,PSH,QUDT,ROR,Schema.org,SPAR FaBiO,Store Norske Leksikon,Techopedia,Treccani,UNESCO Thesaurus,Unified Astronomy Thesaurus,UNSPSC Code,U.S. National Archives,VIAF,WikiData Item,WikiData Property,WordLift,World of Physics,YSO
ablation,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/topic/2778902805,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q322177,,,,
absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absorptance,,,,,,,,,,,,,,,,,,,,,,,http://goldbook.iupac.org/terms/view/A00035,,,https://academic.microsoft.com/topic/2780851986,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q16635541,,,,
absorption,,,,,,,,,,,,,,https://www.britannica.com/science/absorption-physics,,,,,,,,,,,,https://academic.microsoft.com/topic/60787371,,,,,,,,https://psh.techlib.cz/skos/PSH3992,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q905921,,,,
accelerometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q192940,,,,
accelerometerSensitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accessTime,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0b49l,,,,,,,,https://academic.microsoft.com/topic/194080101,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q46306,,,,
accuracy,,,,,,,,,,,,,,https://www.britannica.com/science/accuracy,,,,,https://www.enciclopedia.cat/ec-gec-0182258.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1298969,,,,
activeArea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activePixelSensor,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0d17kj,,,,,,,,https://academic.microsoft.com/topic/155512908,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q210745,,,,
activeReflectionCoefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q56275836,,,,
activeThermalControlSystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actuator,,,https://babelnet.org/synset?word=bn:15865055n,,,,,,,,,,https://zthiztegia.elhuyar.eus/kontzeptua/135430,https://www.britannica.com/technology/actuating-device,,,,https://tools.wmflabs.org/freebase/m/01qvm2,,,,,,,,https://academic.microsoft.com/v2/detail/172707124,https://id.ndl.go.jp/auth/ndlna/00576265,,,,,,,,,,,,,,http://www.treccani.it/enciclopedia/attuatore,,,,,,https://www.wikidata.org/wiki/Q423488,,,,
adapter,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/02ztj6,,,10005496,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q4576564,,,,
additionalName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://schema.org/additionalName,,,,,,,,,,,,,,
adhesion,,http://vocabulary.curriculum.edu.au/scot/643.html,,,,,,https://www.cultureelwoordenboek.nl/natuurkunde-scheikunde-en-sterrenkunde/adhesie,,,,,,https://www.britannica.com/science/adhesion-physics,,,,https://tools.wmflabs.org/freebase/m/03fplb,,https://bigenc.ru/text/1800271,,,,,,https://academic.microsoft.com/v2/detail/84416704,,,,,,,,https://psh.techlib.cz/skos/PSH2975,,,,,https://snl.no/adhesjon,,,,,,,,https://www.wikidata.org/wiki/Q188666,,,http://scienceworld.wolfram.com/physics/Adhesion.html,
adhesiveTape,,,https://babelnet.org/synset?word=bn:00001370n,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/03m3vtv,https://www.enciclopedia.cat/EC-GEC-0168551.xml,,,,,,,,https://id.ndl.go.jp/auth/ndlna/00570847,,,https://www.nomenclature.info/nom/6613,http://www.omegawiki.org/DefinedMeaning:1310715,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q320441,,,,
aerobraking,,,,,,,,,,,,,https://zthiztegia.elhuyar.eus/kontzeptua/137671,https://www.britannica.com/topic/aerobraking,,,,https://tools.wmflabs.org/freebase/m/011h94,,,,,,,,https://academic.microsoft.com/v2/detail/2591305,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q16353,,,,
aerocapture,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/06mp9v,,,,,,,,https://academic.microsoft.com/v2/detail/2777799566,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1746607,,,,
aeroshell,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/02pjq_l,,,,,,,,https://academic.microsoft.com/v2/detail/2776497996,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q16350,,,,
affiliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://schema.org/affiliation,,,,,,,,,,https://www.wikidata.org/wiki/Q46135267,https://www.wikidata.org/wiki/Property:P1416,,,
algorithm,,http://vocabulary.curriculum.edu.au/scot/16512.html,https://babelnet.org/synset?word=bn:00002705n,,,https://thes.bncf.firenze.sbn.it/termine.php?id=21026,,https://www.cultureelwoordenboek.nl/wiskunde/algoritme,,,,https://xlinux.nist.gov/dads/HTML/algorithm.html,,https://www.britannica.com/topic/algorithm,,,,https://tools.wmflabs.org/freebase/m/0jpv,https://www.enciclopedia.cat/EC-GEC-0076707.xml,https://bigenc.ru/text/1810305,,http://purl.obolibrary.org/obo/IAO_0000064,,https://id.loc.gov/authorities/sh85003487,http://mathworld.wolfram.com/Algorithm.html,https://academic.microsoft.com/v2/detail/11413529,https://id.ndl.go.jp/auth/ndlna/00560337,,,,http://www.omegawiki.org/DefinedMeaning:359598,,,,,,,http://purl.org/spar/fabio/Algorithm,,,http://www.treccani.it/enciclopedia/algoritmo,http://vocabularies.unesco.org/thesaurus/concept2024,,,,,https://www.wikidata.org/wiki/Q8366,,,,http://www.yso.fi/onto/yso/p14524
allanVariance,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0b4j2,,,,,,,,https://academic.microsoft.com/v2/detail/5722023,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1440227,,,,
alternateName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://schema.org/alternateName,,,,,,,,,,https://www.wikidata.org/wiki/Q61002,https://www.wikidata.org/wiki/Property:P742,,,
alternatingCurrent,,http://vocabulary.curriculum.edu.au/scot/400.html,https://babelnet.org/synset?word=bn:00000540n,,,https://thes.bncf.firenze.sbn.it/termine.php?id=21486,,https://www.cultureelwoordenboek.nl/techologie-en-techniek/wisselstroom,,,,,,https://www.britannica.com/science/alternating-current,,,,https://tools.wmflabs.org/freebase/m/0bt333,https://www.enciclopedia.cat/EC-GEC-0157756.xml,https://bigenc.ru/text/2712767,,,https://dx.doi.org/10.1351/goldbook.A00252,https://id.loc.gov/authorities/sh85041643,,https://academic.microsoft.com/v2/detail/2779876028,https://id.ndl.go.jp/auth/ndlna/00566656,,,,,,,https://psh.techlib.cz/skos/PSH2513,,,,,https://snl.no/vekselstr%C3%B8m,,,,,,,,https://www.wikidata.org/wiki/Q124164,,,,http://www.yso.fi/onto/yso/p19345
altimeter,,http://vocabulary.curriculum.edu.au/scot/716.html,,,,,,,,,,,https://zthiztegia.elhuyar.eus/kontzeptua/135440,https://www.britannica.com/technology/altimeter,,,,https://tools.wmflabs.org/freebase/m/0crzb,,https://bigenc.ru/text/2337623,,,,,,https://academic.microsoft.com/v2/detail/17534553,,,,https://www.nomenclature.info/nom/10100,http://www.omegawiki.org/DefinedMeaning:802097,,,,,,,,https://snl.no/h%C3%B8ydem%C3%A5ler,,,,,,,,https://www.wikidata.org/wiki/Q216197,,,,
altitude,,http://vocabulary.curriculum.edu.au/scot/921.html,,,,https://thes.bncf.firenze.sbn.it/termine.php?id=12980,,,http://dbpedia.org/ontology/Altitude,,,,,https://www.britannica.com/science/altitude,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/29403383,,,,,http://www.omegawiki.org/DefinedMeaning:4252,,,https://psh.techlib.cz/skos/PSH4247,,,,,https://snl.no/altimetri,,,,,,,,https://www.wikidata.org/wiki/Q190200,,,,
amplitude,,http://vocabulary.curriculum.edu.au/scot/1115.html,,,,,,https://www.cultureelwoordenboek.nl/natuurkunde-scheikunde-en-sterrenkunde/amplitude,,,,,,https://www.britannica.com/science/amplitude-physics,,,,https://tools.wmflabs.org/freebase/m/09d3h,https://www.enciclopedia.cat/EC-GEC-0158315.xml,,,,,,,https://academic.microsoft.com/v2/detail/180205008,,,,,http://www.omegawiki.org/DefinedMeaning:425089,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q159190,,,,
